,username,verified,followersCount,rawContent,date,replyCount,retweetCount,likeCount,url,hashtags,game,labels,processed,vader_preprocessing_text,vader_neg,vader_neu,vader_pos,vader_comp,class,TextBlob_Subjectivity,TextBlob_Polarity,TextBlob_Analysis,final_class
316,The_Tr3nch,False,19,"30+ hrs on XSX and I'd give it a 8/10 for mechs (jumping, climbing, and flying feel way off), 9/10 for story (including all side missions), 10/10 for graphics and attention to details, 10/10 for puzzles, 10/10 for Hogwarts Castle alone. Overall, very fun 9.5/10 #HogwartLegacy https://t.co/N00TliwcXD",12/2/2023 12:12,1,0,0.0,https://twitter.com/The_Tr3nch/status/1624743357070147585,['HogwartLegacy'],HGL,1.0,"['30', 'hrs', 'on', 'xx', 'and', 'i', 'would', 'give', 'it', 'a', '8', '10', 'for', 'mecha', 'jump', 'climb', 'and', 'fly', 'feel', 'way', 'off', '9', '10', 'for', 'story', 'include', 'all', 'side', 'missions', '10', '10', 'for', 'graphics', 'and', 'attention', 'to', 'detail', '10', '10', 'for', 'puzzle', '10', '10', 'for', 'hogwarts', 'castle', 'alone', 'overall', 'very', 'fun', '9', '5', '10', 'https', 't', 'co', 'n00tliwcxd']","30+ hrs on xsx and i would give it a 8/10 for mechs (jumping, climbing, and flying feel way off), 9/10 for story (including all side missions), 10/10 for graphics and attention to details, 10/10 for puzzles, 10/10 for hogwarts castle alone. overall, very fun 9.5/10  ",0.042,0.882,0.075,0.3804,-1,0.13,0.195,1,1.0
46752,Vesn4_,FALSE,817,"I am a human being, capable of doing terrible things. #Cyberpunk2077 #Arasaka #Cyberpunk2077PhotoMode #MyV #NomadV #VirtualPhotography #Cyberpunk2077AMM https://t.co/5kV8kyb1SC",27/6/2021 19:32,2,5,27.0,https://twitter.com/Vesn4_/status/1409233109049036800,"['Cyberpunk2077', 'Arasaka', 'Cyberpunk2077PhotoMode', 'MyV', 'NomadV', 'VirtualPhotography', 'Cyberpunk2077AMM']",Cyberpunk,-1.0,"['i', 'be', 'a', 'human', 'be', 'capable', 'of', 'do', 'terrible', 'things', 'https', 't', 'co', '5kv8ky1sc']","i am a human being, capable of doing terrible things.        ",0.265,0.513,0.222,-0.128,-1,0.5,-0.2666666666666666,-1,-1.0
46487,BurakPakz,FALSE,0,@LewLater #100FREEiPhone12 #unboxtherapy #Cyberbug2077 34 iPhone12 remain.... NEVER GIVE UP!!!! You ROCK!!!,22/12/2020 17:18,0,0,0.0,https://twitter.com/BurakPakz/status/1341432977041997824,"['100FREEiPhone12', 'unboxtherapy', 'Cyberbug2077']",Cyberpunk,0.0,"['34', 'iphone12', 'remain', 'never', 'give', 'up', 'you', 'rock']",    34 iphone12  never give up!!!! you rock!!!,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0
755,bulariat,False,10147,"Harry Potter Ã¢ÂÂHogwarts LegacyÃ¢ÂÂ is a must-buy for gamers, book lovers alike Read: https://t.co/VuXhKxUvxk Ã°ÂÂÂ: Pierson Luscy | LTVN Reporter/Anchor Ã°ÂÂÂ·: Photo courtesy of ""Hogwarts Legacy"" #HogwartsLegacyGAME #gaming_news https://t.co/o27lZm6KZv",16/2/2023 20:02,1,0,0.0,https://twitter.com/bulariat/status/1626311087061712899,"['HogwartsLegacyGAME', 'gaming_news']",HGL,0.0,"['harry', 'potter', 'ahogwarts', 'legacy', 'be', 'a', 'must', 'buy', 'for', 'gamers', 'book', 'lovers', 'alike', 'read', 'https', 't', 'co', 'vuxhkxuvxk', 'd', 'person', 'lucy', 'lten', 'reporter', 'anchor', 'd', 'photo', 'courtesy', 'of', 'hogwarts', 'legacy', 'https', 't', 'co', 'o27lm6kov']","harry potter aC/aahogwarts legacyaC/aa is a must-buy for gamers, book lovers alike read:  adegaaa: pierson luscy | ltvn reporter/anchor adegaaa*: photo courtesy of ""hogwarts legacy""   ",0.0,0.781,0.219,0.7096,1,0.0,0.0,0,0.0
46727,DuhhWongShots,FALSE,184,NEVER FADE AWAY @CDPROJEKTRED #Cyberpunk2077 #Cyberpunk #Cyberpunk2077PhotoMode #PhotoMode #VirtualPhotography #NightCity #JohnnySilverhand #PS5Share https://t.co/5bNHsn4k62,8/10/2022 18:22,0,0,10.0,https://twitter.com/DuhhWongShots/status/1578812981726453761,"['Cyberpunk2077', 'Cyberpunk', 'Cyberpunk2077PhotoMode', 'PhotoMode', 'VirtualPhotography', 'NightCity', 'JohnnySilverhand', 'PS5Share']",Cyberpunk,1.0,"['never', 'fade', 'away', 'https', 't', 'co', '5nhs4k62']",never fade away          ,0.0,1.0,0.0,0.0,0,0.0,0.0,0,1.0
47134,DavidFrostShow,FALSE,786,"https://t.co/ZnqVyBd48g ""New Review"" #Cyberpunk2077bugs #Cyberpunk2077 #Cyberbug2077 #cyberpunk #ps4 #xbox #games #CDProjektRed #ps5 #games #gamers #games #parody #funny #Gamereview https://t.co/A2WKmDoOIt",23/12/2020 7:07,0,1,1.0,https://twitter.com/DavidFrostShow/status/1341641501248376832,"['Cyberpunk2077bugs', 'Cyberpunk2077', 'Cyberbug2077', 'cyberpunk', 'ps4', 'xbox', 'games', 'CDProjektRed', 'ps5', 'games', 'gamers', 'games', 'parody', 'funny', 'Gamereview']",Cyberpunk,0.0,"['https', 't', 'co', 'znqvybd48g', 'new', 'review', 'https', 't', 'co', 'a2wkmdooit']"," ""new review""                ",0.0,1.0,0.0,0.0,0,0.4545454545454545,0.1363636363636363,1,0.0
404,1zhaan,False,162,I'm so happy for the folks at @AvalancheWB they got what they deserved #HogwartLegacy is such a generational game many potterheads had to wait over 20 years to play a good harry potter game.This was only possible because of passionate devs working on it and @FinchStrife you Top G,11/2/2023 1:02,0,0,2.0,https://twitter.com/1zhaan/status/1624212190256570371,['HogwartLegacy'],HGL,0.0,"['i', 'be', 'so', 'happy', 'for', 'the', 'folks', 'at', 'they', 'get', 'what', 'they', 'deserve', 'be', 'such', 'a', 'generational', 'game', 'many', 'potterheads', 'have', 'to', 'wait', 'over', '20', 'years', 'to', 'play', 'a', 'good', 'harry', 'potter', 'game', 'this', 'be', 'only', 'possible', 'because', 'of', 'passionate', 'devs', 'work', 'on', 'it', 'and', 'you', 'top', 'g']",i am so happy for the folks at  they got what they deserved  is such a generational game many potterheads had to wait over 20 years to play a good harry potter  was only possible because of passionate devs working on it and  you top g,0.0,0.719,0.281,0.9259,1,0.7055555555555555,0.2277777777777777,1,0.0
432,thatalfiedude,False,26,#hogwartslegacygame #HogwartsLegacy Hogwarts Legacy is such a good game!,14/2/2023 16:35,0,0,0.0,https://twitter.com/thatalfiedude/status/1625534236882239493,"['hogwartslegacygame', 'HogwartsLegacy']",HGL,1.0,"['hogwarts', 'legacy', 'be', 'such', 'a', 'good', 'game']",  hogwarts legacy is such a good game!,0.0,0.61,0.39,0.4926,1,0.5,0.0666666666666666,1,1.0
127,Saeoh3,False,28,people crying over #HogwartsLegacyGAME #HogwartsLegacy should go see a therapist.,16/2/2023 20:12,0,0,0.0,https://twitter.com/Saeoh3/status/1626313712461139973,"['HogwartsLegacyGAME', 'HogwartsLegacy']",HGL,0.0,"['people', 'cry', 'over', 'should', 'go', 'see', 'a', 'therapist']",people crying over   should go see a therapist.,0.341,0.659,0.0,-0.4767,-1,0.6,-0.2,-1,0.0
701,iventuell,False,10813,Nettes Gimmick @RazerGermany Ã°ÂÂÂÃ°ÂÂÂÃ¢ÂÂ¤Ã¯Â¸ÂÃ°ÂÂÂÃ°ÂÂÂ #HogwartLegacy https://t.co/saPEuHFJly,11/2/2023 9:32,2,1,10.0,https://twitter.com/iventuell/status/1624340633405034496,['HogwartLegacy'],HGL,0.0,"['net', 'gimmick', 'dda', 'i', 'dd', 'https', 't', 'co', 'sapeuhfjly']","nettes gimmick  adegaaaadegaaaaC/aa$?a-a,aadegaaaadegaaa  ",0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0
46605,fan_forgetful,FALSE,31,Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂÃ°ÂÂÂ #wallpapers #pcgame #Cyberpunk2077! #REDmod #PhantomLiberty Original: RoachTheDude,23/9/2022 22:16,0,0,0.0,https://twitter.com/fan_forgetful/status/1573436273532243969,"['wallpapers', 'pcgame', 'Cyberpunk2077', 'REDmod', 'PhantomLiberty']",Cyberpunk,0.0,"['dddddd', 'original', 'roachthedude']",adegaaaadegaaaadegaaaadegaaaadegaaa   !   original: roachthedude,0.0,0.436,0.564,0.3802,1,0.75,0.375,1,0.0
38174,doubleunaa,FALSE,64,Stardew fun,13/2/2023 18:03,0,0,1.0,https://twitter.com/doubleunaa/status/1625194027929968640,,Stardew,0.0,"['start', 'fun']",stardew fun,0.0,0.233,0.767,0.5106,1,0.2,0.3,1,0.0
47399,xxnike0629xx,FALSE,461,Cyberpunk 2077: Phantom Liberty Ã¢ÂÂ Official Teaser https://t.co/Zf1B0fxyyh via @YouTube #Cyberpunk2077 #PhantomLiberty,6/9/2022 18:15,0,0,0.0,https://twitter.com/xxnike0629xx/status/1567214869463662592,"['Cyberpunk2077', 'PhantomLiberty']",Cyberpunk,1.0,"['cyberpunk', '2077', 'phantom', 'liberty', 'a', 'official', 'teaser', 'https', 't', 'co', 'zf1b0fxyyh', 'via']",cyberpunk 2077: phantom liberty aC/aa official teaser  via   ,0.175,0.526,0.298,0.34,-1,0.0,0.0,0,1.0
47151,ayomimoses630,FALSE,6,Let's play mini games with our nft and win more $SRT and more Brain NFTs also https://t.co/saIVX4rFo2 #nfts #braindance #ethereum #elonmusk #artwork #art @braindancenft see you in metaverse https://t.co/D5KP4J6Gwn,27/3/2022 13:13,0,0,3.0,https://twitter.com/ayomimoses630/status/1508069617662672896,"['nfts', 'braindance', 'ethereum', 'elonmusk', 'artwork', 'art']",Cyberpunk,0.0,"['let', 'us', 'play', 'mini', 'game', 'with', 'our', 'nft', 'and', 'win', 'more', 'srt', 'and', 'more', 'brain', 'nts', 'also', 'https', 't', 'co', 'said4ro2', 'see', 'you', 'in', 'metaverse', 'https', 't', 'co', 'd5kp4j6own']",let us play mini games with our nft and win more $srt and more brain nfts also         see you in metaverse ,0.0,0.754,0.246,0.7351,1,0.4666666666666666,0.6,1,0.0
510,ProWresMatthew,False,685,I just got my broomstick! #HogwartLegacy #Hogwarts #Xbox #XboxShare #XboxSeriesX #WizardingWorld https://t.co/wwXDa0MCMG,11/2/2023 23:48,0,0,1.0,https://twitter.com/ProWresMatthew/status/1624555917764067328,"['HogwartLegacy', 'Hogwarts', 'Xbox', 'XboxShare', 'XboxSeriesX', 'WizardingWorld']",HGL,0.0,"['i', 'just', 'get', 'my', 'broomstick', 'https', 't', 'co', 'wftda0mcm']",i just got my broomstick!       ,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0
38147,kiratheoverlord,FALSE,86,@OriTomorrow Stardew Valley and Fallout 4!,14/2/2023 2:48,0,0,1.0,https://twitter.com/kiratheoverlord/status/1625326034672312320,,Stardew,0.0,"['start', 'valley', 'and', 'fallout', '4']", stardew valley and fallout 4!,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0
38654,NatesGameBox,FALSE,0,New video up now! I discovered the shadow monsters of Stardew Valley!!! https://t.co/qFSJcL4d1k #StardewValley #Stardew #gaming,14/2/2023 3:54,0,0,0.0,https://twitter.com/NatesGameBox/status/1625342635509485568,"['StardewValley', 'Stardew', 'gaming']",Stardew,0.0,"['new', 'video', 'up', 'now', 'i', 'discover', 'the', 'shadow', 'monsters', 'of', 'start', 'valley', 'https', 't', 'co', 'qfsjcl4d1k']",new video up now! i discovered the shadow monsters of stardew valley!!!    ,0.0,1.0,0.0,0.0,0,0.4545454545454545,0.332919034090909,1,0.0
38162,rStardewValley,FALSE,94495,Reminds me of a certain npc Ã°ÂÂÂ.. posted by u/Baercub. Post url: https://t.co/zMXmaWy2uG #StardewValley #Stardew https://t.co/Yw1ARe8uiU,10/2/2023 0:01,3,13,621.0,https://twitter.com/rStardewValley/status/1623834610957266944,"['StardewValley', 'Stardew']",Stardew,0.0,"['remind', 'me', 'of', 'a', 'certain', 'npc', 'd', 'post', 'by', 'you', 'baercub', 'post', 'url', 'https', 't', 'co', 'zmxmawy2ug', 'https', 't', 'co', 'yw1are8uid']",reminds me of a certain npc adegaaa.. posted by you/baercub. post url:    ,0.0,0.826,0.174,0.2732,1,0.5714285714285714,0.2142857142857142,1,0.0
17669,ManuelKoegler,False,267,"Thank you @corybarlog &amp; @SonySantaMonica for creating GOTY 2018, it is amazing https://t.co/Fq5EaYPhu8",28/5/2018 18:56,0,0,0.0,https://twitter.com/ManuelKoegler/status/1001175335130550272,[],GOW,1.0,"['thank', 'you', 'amp', 'for', 'create', 'get', '2018', 'it', 'be', 'amaze', 'https', 't', 'co', 'fq5eayphu8']","thank you  &amp;  for creating goty 2018, it is amazing ",0.0,0.452,0.548,0.8176,1,0.9,0.6000000000000001,1,1.0
18325,Jedi_Marcos,False,499,@PlayStation PlayStation smokes that winners pack. ???? #TheGameAwards https://t.co/jc3AnsWc6R,9/12/2022 2:53,1,0,15.0,https://twitter.com/Jedi_Marcos/status/1601047231846813697,['TheGameAwards'],GOW,1.0,"['playstation', 'smoke', 'that', 'winners', 'pack', 'https', 't', 'co', 'jc3answer6r']", playstation smokes that winners pack. ????  ,0.0,0.552,0.448,0.6199,1,0.0,0.0,0,1.0
326,iMarceIla,False,1491,Omg im sorry Ã°ÂÂÂ­ #HogwartLegacy https://t.co/E1p8HEcqq1,12/2/2023 21:14,8,1,14.0,https://twitter.com/iMarceIla/status/1624879637007400961,['HogwartLegacy'],HGL,0.0,"['omg', 'i', 'be', 'sorry', 'd', 'https', 't', 'co', 'e1p8heck1']",omg i am sorry adegaaa  ,0.302,0.698,0.0,-0.0772,-1,1.0,-0.5,-1,0.0
17191,EthanCrossMedia,False,585,More photos from @thegameawards. @KeeganMKey @supermariomovie @NintendoAmerica @illumination @UniversalPics @TheMuppets @Disney #TheSuperMarioBrosMovie #SuperMario #Animal #TheMuppets #Nintendo #Illumination #UniversalPictures #Disney #TheGameAwards2022 #TheGameAwards https://t.co/NTjnBu6jxz,9/12/2022 3:23,0,0,2.0,https://twitter.com/EthanCrossMedia/status/1601054927337697280,"['TheSuperMarioBrosMovie', 'SuperMario', 'Animal', 'TheMuppets', 'Nintendo', 'Illumination', 'UniversalPictures', 'Disney', 'TheGameAwards2022', 'TheGameAwards']",GOW,0.0,"['more', 'photos', 'from', 'https', 't', 'co', 'ntjnbu6jz']",more photos from .                  ,0.0,1.0,0.0,0.0,0,0.5,0.5,1,0.0
17129,yudhistirobagus,False,135,Ragnarok FF1 #TheGameAwards https://t.co/SWu5eGHkWT,24/12/2021 7:24,0,0,0.0,https://twitter.com/yudhistirobagus/status/1474279919349731328,['TheGameAwards'],GOW,0.0,"['ragnarok', 'ff1', 'https', 't', 'co', 'su5eghkwt']",ragnarok ff1  ,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0
46848,CkYLee,FALSE,454,"my new johhny silverhand figure just arrived , he has his guitar and samurai vest #cyberpunk2077 #JohnnySilverhand https://t.co/1QC9RyHJ5c",14/4/2022 10:32,0,1,1.0,https://twitter.com/CkYLee/status/1514552170766548996,"['cyberpunk2077', 'JohnnySilverhand']",Cyberpunk,0.0,"['my', 'new', 'johnny', 'silverhand', 'figure', 'just', 'arrive', 'he', 'have', 'his', 'guitar', 'and', 'samurai', 'vest', 'https', 't', 'co', '1qc9ry5c']","my new johhny silverhand figure just arrived , he has his guitar and samurai vest   ",0.0,1.0,0.0,0.0,0,0.4545454545454545,0.1363636363636363,1,0.0
17985,twinmommy19771,False,56,"Proof that puppies aren't the only ones who chase their tails #freya #kittensofinstagram #calicokitten @ Hanahan, South Carolina https://t.co/ZZ4Uqmppxd",11/6/2021 22:10,0,0,0.0,https://twitter.com/twinmommy19771/status/1403474650609422337,"['freya', 'kittensofinstagram', 'calicokitten']",GOW,0.0,"['proof', 'that', 'puppies', 'be', 'not', 'the', 'only', 'ones', 'who', 'chase', 'their', 'tail', 'hanahan', 'south', 'carolina', 'https', 't', 'co', 'zz4uqmppxd']","proof that puppies are not the only ones who chase their tails    @ hanahan, south carolina ",0.0,1.0,0.0,0.0,0,1.0,0.0,0,0.0
17336,HarryBranch404,False,316,IÂve watched the #GodOfWarRagnarok gameplay trailer 10+ times already since the Playstation Showcase. I canÂt wait! https://t.co/B6s0nIRTVU,10/9/2021 14:37,0,0,0.0,https://twitter.com/HarryBranch404/status/1436338113563987970,['GodOfWarRagnarok'],GOW,0.0,"['i', 'have', 'watch', 'the', 'gameplay', 'trailer', '10', 'time', 'already', 'since', 'the', 'playstation', 'showcase', 'i', 'cannot', 'wait', 'https', 't', 'co', 'b6s0nirtvu']",iave watched the  gameplay trailer 10+ times already since the playstation showcase. i canat wait! ,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0
585,jayB33256326,False,37,"#PS5Share, #HogwartsLegacy #ps5 #playstation #sony @playstation @hogwarts legacy https://t.co/mUR8o1N4Vk",16/2/2023 3:58,0,0,0.0,https://twitter.com/jayB33256326/status/1626068563378446337,"['PS5Share', 'HogwartsLegacy', 'ps5', 'playstation', 'sony']",HGL,0.0,"['legacy', 'https', 't', 'co', 'mur8o1n4vk']",",       legacy ",0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0
47398,DuhhWongShots,FALSE,184,I would like to see the BB @CDPROJEKTRED #Cyberpunk2077 #Cyberpunk #Cyberpunk2077PhotoMode #PhotoMode #VirtualPhotography #NightCity #CyberMondays #PS5Share https://t.co/oNv3cGJLs2,18/10/2022 2:52,0,1,24.0,https://twitter.com/DuhhWongShots/status/1582202877891973120,"['Cyberpunk2077', 'Cyberpunk', 'Cyberpunk2077PhotoMode', 'PhotoMode', 'VirtualPhotography', 'NightCity', 'CyberMondays', 'PS5Share']",Cyberpunk,0.0,"['i', 'would', 'like', 'to', 'see', 'the', 'bb', 'https', 't', 'co', 'on3calls2']",i would like to see the bb          ,0.0,0.667,0.333,0.3612,1,0.0,0.0,0,0.0
374,ibejakie,False,9,I could stand here for hours. #HogwartLegacy https://t.co/oOonG5T7LV,12/2/2023 16:10,0,0,0.0,https://twitter.com/ibejakie/status/1624803036416581638,['HogwartLegacy'],HGL,0.0,"['i', 'could', 'stand', 'here', 'for', 'hours', 'https', 't', 'co', 'woong5t7lv']",i could stand here for hours.  ,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0
37950,zfunk007,FALSE,16334,"Well itÃ¢ÂÂs official, I purchased Stardew ValleyÃ¢ÂÂ¦ here we go! Ã°ÂÂ",16/2/2023 0:23,4,0,24.0,https://twitter.com/zfunk007/status/1626014453455065090,,Stardew,0.0,"['well', 'its', 'official', 'i', 'purchase', 'start', 'valley', 'here', 'we', 'go', 'd']","well itaC/aas official, i purchased stardew valleyaC/aa| here we go! adegaa",0.0,0.79,0.21,0.3382,1,0.0,0.0,0,0.0
46762,Mo_maid_,FALSE,136,"Honestly, you don't have to be a #gamer to appreciate the horrible bugs in #Cyberbug2077. Ã°ÂÂÂ #Cyberpunk2077bugs https://t.co/LkEgslc4cZ",24/12/2020 23:01,0,0,0.0,https://twitter.com/Mo_maid_/status/1342244126771867650,"['gamer', 'Cyberbug2077', 'Cyberpunk2077bugs']",Cyberpunk,0.0,"['honestly', 'you', 'do', 'not', 'have', 'to', 'be', 'a', 'to', 'appreciate', 'the', 'horrible', 'bug', 'in', 'd', 'https', 't', 'co', 'lkegslc4cz']","honestly, you do not have to be a  to appreciate the horrible bugs in . adegaaa  ",0.173,0.545,0.282,0.296,-1,0.95,-0.2,-1,0.0
17267,WWDEatNext,False,672,#KOD #GodOfWar #420day Anything else?,20/4/2018 4:18,0,0,0.0,https://twitter.com/WWDEatNext/status/987183647580151808,"['KOD', 'GodOfWar', '420day']",GOW,1.0,"['anything', 'else']",   anything else?,0.0,1.0,0.0,0.0,0,0.0,0.0,0,1.0
38073,YasinYtbd,FALSE,53,@LinusTech Stardew valley is overrated,14/2/2023 4:38,0,0,2.0,https://twitter.com/YasinYtbd/status/1625353725685661696,,Stardew,-1.0,"['start', 'valley', 'be', 'operate']", stardew valley is overrated,0.0,1.0,0.0,0.0,0,0.0,0.0,0,-1.0
333,CNeile,False,40,#HogwartLegacy #glitch #demiguisemoons super frustrating and major impact to game play,15/2/2023 21:04,0,0,0.0,https://twitter.com/CNeile/status/1625964222155816963,"['HogwartLegacy', 'glitch', 'demiguisemoons']",HGL,0.0,"['super', 'frustrate', 'and', 'major', 'impact', 'to', 'game', 'play']",   super frustrating and major impact to game play,0.204,0.352,0.444,0.5267,-1,0.6166666666666666,-0.1010416666666666,-1,0.0
17849,phil_moule,False,104,"@Vulgar_cowboy @corybarlog @SonySantaMonica @iamchrisjudge Not played that yet, any good?",22/4/2019 12:11,1,0,0.0,https://twitter.com/phil_moule/status/1120299045870870528,[],GOW,0.0,"['not', 'play', 'that', 'yet', 'any', 'good']","    not played that yet, any good?",0.228,0.448,0.325,0.2177,-1,0.6000000000000001,0.7,1,0.0
46930,G4meDesire,FALSE,19,Dressed to kill #Cyberpunk2077 #CDPR #cdprojektred #xbox #xboxseriesX #xboxshare #gaming #videogames #cyberpunk https://t.co/QQ1enQr8gM,12/12/2022 10:35,0,0,3.0,https://twitter.com/G4meDesire/status/1602250892992020480,"['Cyberpunk2077', 'CDPR', 'cdprojektred', 'xbox', 'xboxseriesX', 'xboxshare', 'gaming', 'videogames', 'cyberpunk']",Cyberpunk,1.0,"['dress', 'to', 'kill', 'https', 't', 'co', 'qq1enr8gm']",dressed to kill          ,0.701,0.299,0.0,-0.6908,-1,0.0,0.0,0,1.0
458,ACDynamic_,False,18,This Happened in #HogwartsLegacy https://t.co/jbzON8J66w,17/2/2023 2:50,0,0,1.0,https://twitter.com/ACDynamic_/status/1626413755901919232,['HogwartsLegacy'],HGL,0.0,"['this', 'happen', 'in', 'https', 't', 'co', 'jason8j66w']",this happened in  ,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0
