,use_col,labels
103,we that be one way to deal with troll https t co yw8near6lf,0.0
104,diary with excitement be an understatement dead dead dead https t co ucvzmz1cr,0.0
105,alright time to take a break from and watch,0.0
106,this be the game i dream of as a kid watch the movies i canal believe we finally have it cheer to for achieve a dream,1.0
107,watch my wife and son take turn play have be a delight troop be less than a percent of the population why should anyone give a fuck what they think they will never be women https t co vanc9sq2,0.0
108,i be about to embark on a magical journey in hogwarts for the very first time i must admit i have absolutely no idea what i be do wish me luck as i navigate my way through this world let the wand wave and spell cast begin https t co pbrtdxlqpb,0.0
109,actually that be fuck hilarious d,0.0
110,little tea party https t co 1aorestjmk,0.0
111,once again please die mad about it d3i add3i aai https t co hwwegeoewz,0.0
112,the most adorable baby mooncalf a i a i a i https t co auto7radio,0.0
113,guess i be not allow to break things dd C https t co wemqkghlxc,0.0
114,stop trans terrorism if you be attack people for play a game you be mentally ill stop insist men date you that be insane please seek medical help amp stop your life of terrorism before its too late your choice only effect you not us,0.0
115,sock get that boy get busy https t co stqoqeewlm,0.0
116,anyone have a pop at the new harry potter game yet hogwarts legacy,0.0
117,yay my copy finally come day i a https t co zmtemghtru,0.0
118,i cannot keep play after 40 hours i save yesterday in front of the elf in the kitchen and today i appear inside a barrel in the hogwarts kitchen without be able to open the map i can not do anything https t co nxppjgexhf,0.0
119,ded see if that be in all countries wait wait wait before or after 1 years ago all us embassies in all countries all huh then y do you kill my best friend he be dead now thank ugly too huh fuck ugly yep him tooth https t co bcr8weak,0.0
120,the first trial of percival rackham in hogwarts legacy https t co 8b4gsjdgiy,0.0
121,eye of medusa https t co 1mfalmbog7,0.0
122,hogwarts legacy pc de nature and hogwarts d https t co eaiasctsef,0.0
123,con black shop owner https t co y0y46labor,0.0
124,caretaker cmp muhammad adam khan condemn the attack on the force convoy in north waziristan mir ali oSSuuuoSSu_o uoSSu_u o o uo uk s brain trust youth excellence award joe biden sha gill,0.0
125,hogwarts return wild hearts atomic heart sons of the forest why be all those game be release in february game company be amputation their revenues with this publish strategy,0.0
126,i want a ps5 so bad just so that i can play d copyright,0.0
127,people cry over should go see a therapist,0.0
128,quite literally an essential piece to have handy d https t co 6mb5ibm,0.0
129,t 47 smart son d d https t co like1early,0.0
130,note couldnt care less all be play,0.0
131,hogwarts legacy be really good rocky start for the pc player base but after that patch yesterday i can tell you that it be what i ask for i have be enjoy the game so much,1.0
132,the wire review of the by have get to be one of the most unprofessional bias and downright outrageous review have ever read falsehoods and inaccuracies shock that even allow this to be publish whereas your integrity https t co kduzjwmk60,0.0
133,this game be beautiful https t co 9msolqolv7,1.0
134,abandon fort game developer publisher frame https t co hello0nii,0.0
135,what a game this be man https t co 1the8left,0.0
136,there be a bug while play name fitzgerald trial at the end when fight the death troll my spell disappear and i couldnt use them i think it be apart of the trial until i watch someone else play it on youtube,-1.0
137,when the sort hat try to place me in gryffindor but i forcefully choose slytherin house instead d Px https t co refnum7df,0.0
138,folk my wife be play the game and it regularly crash today its crash twice in the matter of an hour be this happen with anyone else,-1.0
139,i love this game so much as a kid i want a game where i can explore and now i can a dream come true de o https t co tu2mgwhimk,1.0
140,hogwarts legacy mod for virtual reality https t co 7z62mu9wy,0.0
141,first dlc should be https t co gi0jdjdnhb,0.0
142,game devs system xbox a a playstation a a playstation https t co kxnwh7ka0m,0.0
143,rest of the world about to be like hairy potter in gryffindor uk about to aaa kedavra everybody,0.0
144,so i be about to get the kill curse d,0.0
145,let us play hogwarts legacy part 5 forbid forest cavern https t co ri0loaxhko via,0.0
146,have not even unlock talents yet in and i already want a sequel 10 10 would recommend to a friend,1.0
147,best npc for me so far into hogwarts legacy even though sebastian allow be a slytherin he be a real one https t co kjpcdnkjh2,0.0
148,check out 18 i be not a shooter ddd fam kit kts ddd https t co sensei7s2d a kdtonlinegaminga copyright a jazziebooxa copyright,0.0
149,these be stay on d PS https t co zbvhzebb5g,0.0
150,best ddd,0.0
151,draw duck https t co yzuqqzhqqk,0.0
152,not only do i fly on a broom i can beat you with it too ddd https t co bi3panic,0.0
153,hey guy first part of my let us play be up on the third channel https t co w6gtdwxjzn,0.0
154,how to get upstairs in slytherin common room if you be a wizard https t co 2wr7ipdwwa,0.0
155,the foul of the dead quest be rugged,-1.0
156,you could say it be a chamber of secrets https t co symjyks2y8,0.0
157,be there a way to get professor fig to call me by my correct pronouns,0.0
158,finally https t co xm0vnvbbyb,0.0
159,you people will not buy well i will not be watch sorry but i do not support lunatic they them who beat on women fuck hate that guy yes i say guy because that be what he be any movie that he will be in move forward i will not watch https t co cuhtpqxsas,0.0
160,i want quidditch https t co s11gypjtn3,0.0
161,hogwarts main on da shawties https t co ssrn7b0dg,0.0
162,wish and flick what be your try and true spell combination in combat https t co m3mtx3burn,0.0
163,there be a possibility that my entire weekend will be spend with me play an amaze friend get it for me as an early birthday present d,0.0
164,i think she need help https t co m540odypsl,0.0
165,i do believe they go home in a wooden box lol https t co tuedmyjlpt,0.0
166,omg i just find the kitchens in the game i tackle the pear and it let me in https t co ov41ulster,0.0
167,direct a,0.0
168,whats all your wizard name,0.0
169,the ghost of our love quest in hogwarts legacy be different depend on what house you have be sort into https t co e6a6were8p,0.0
170,its not a glitch its magic d https t co gxbpyrrwkp,0.0
171,can we get a patch to be able to pause the game during scenes https t co 6mj6nf13jd,0.0
172,it be funny https t co stub2pa2l,0.0
173,have anyone else find this wand https t co issuu2mp5,0.0
174,the magical world of hogwaaartzzz https t co uzwahnxb4a,0.0
175,hogwarts legacy rank dragon fight pt 2 dd https t co pkzylbvsdg,0.0
176,subscribe to my youtube have make a how to and a walkthrough video for link https t co taxa6spun,0.0
177,2 more to go https t co ayhxxvrpwc,0.0
178,all that talk about harry potter make me go back to no more tuna https t co y1h7lyrzmq,0.0
179,hogwarts legacy part 4 watch be at https t co ctor9gb2y make sure to leave a subscribe at levi mason game youtube channel i would really appreciate it if you do i hope you guy enjoy video https t co pdepbczjoi,0.0
180,di have see a rainbow https t co gx43sib9,0.0
181,i think i be at the wrong game nevermind time to fill my stub flank at the bonfire https t co 0wtnwukeok,0.0
182,mind align take in jaipur be she scout locations for upcoming rom com with priyanka chopra ukraine https t co pls0seems,0.0
183,imagine get take out by this goofy look dude https t co wdlgjxdp0g,0.0
184,have this little moment in last night d https t co hm7xslbyfx,0.0
185,wouldnt want to be a wizard as much after witness some official get devote by a dragon just within 10 minutes into the magic world just say,0.0
186,i be on a mission to pet every cat in https t co jttpdb8s3o,0.0
187,sebastian allow might be pretty but i do not trust this man a i,0.0
188,just super addiction https t co pha27ns5m,0.0
189,no game for me tonight far too tire but full day of tomorrow dd,0.0
190,ahogwarts legacy ps5 update feb 18th https t co onsvymdqgz via,0.0
191,eh get update file,0.0
192,what the https t co jtyduofvxv,0.0
193,check out my room of requirements setup tour https t co bd5pass,0.0
194,mfa new character unlock dd yes you can actually find these glass d Px https t co xlcjsuzk1w,0.0
195,fuck gryffindor we slytherin for afeeee ddd https t co box79bouts,0.0
196,the bartender at the three broomsticks appear to be trans,0.0
197,pls tell me i wasnt the only one read the letter in molly wesley voice,0.0
198,i feel so accomplish SS top 0 5 a https t co hbyqnw9dyn,0.0
199,mom know best https t co intl3url9,0.0
200,need a photo mode https t co litcgdkhif,0.0
201,trop fan SS1 https t co xgymmpklfc,0.0
202,you all really just angry no matter what huh https t co gjqdgszxwq,0.0
203,if youre play and you do not take the sort hat pottermore quiz you have no right to go scream about how your house be superior when that be probably not even your house,0.0
204,exsmellyarmpits https t co 08pocromnx https t co 9lta20gio8,0.0
205,who be sebastian allow voice actor,0.0
206,president of usa joe biden and his team and usa condemn with the worse destruction possible because raise currencies out So_oSSuo register uo ouoSSo _oSSuuuoa https t co zzwodmqwp4,0.0
207,change my outfit almost every 2 minutes d https t co 3jin1l8d,0.0
208,30hrs into still make progress on story side missions exploration lot to talk about and things to reference hop i can get to prepare review soon till then catch up on my on go playthrough https t co 88dv4score,0.0
209,anybody else think this https t co yq1op185t2,0.0
210,like be so beautiful https t co cbn83t12dv,1.0
211,opinion on its like the creators take all the elements of an mmo and say areas make a multiplayer game single player only just to suck the fun out of ita its mean to be mmo not single player,-1.0
212,hogwarts here i come dead 1 4aai dead 1 4 https t co ipgdadxdbw,0.0
213,safety first dadSSaai https t co il7this,0.0
214,game of the year 2023 and i dont care about the drama surround it jr best author ever for create such a world,1.0
215,be an amaze game so far graphics be 10 10 gameplay be 10 10 game of the year worthy for sure,1.0
216,skin shade look good do not you think https t co rjtwimddge,1.0
217,who test it and review https t co guns2hhs9,0.0
218,damn this feel good what an amaze game all around https t co rt3w5gt,1.0
219,i normally do not jump into these type of this but this whole bs be really make thing think twice on how much support they really deserve,1.0
220,i be go to be a wizard or maybe lap as a witch when it finally finish download that be,0.0
221,not be able to pause during a cutscene in be trash do not remember the last time a game do not let you do that,-1.0
222,when you find a wand https t co b5ymges74x,0.0
223,only reason why i be consider get a ps5 after have no system for years de,0.0
224,be so immersive and feel so great to play i dare say its the best rpg since syria i truly love it and its the definitive potter experience we all have be want forever https t co frnyxdjiqj,1.0
225,praise and worship god when you be work alone have a lot of therapeutic benefit ukraine,0.0
226,people boycott and spell be fuck losers j k have absolutely nothing to do with game development and even if she do you be not help anybody except yourself by pitch,0.0
227,be i the only one that think hogwarts legacy be actually really well build all the character have dimension its quite diverse and just so much fun to run around in iam go to spend so much time and heal my inner child,1.0
228,on our way d https t co quy5had0,0.0
229,for every person who say you should not buy there be 3 tweet of people love the game,0.0
230,the irony be be about to break some record bru,0.0
231,you certainly do,0.0
232,death day party https t co fn5d8hf5az,0.0
233,finally play hogwarts legacy today excite,0.0
234,rookwood curse anne and professor fig die no matter what,0.0
235,alla lanka it be require from usa president and his family and their supporters to end amp destroy themselves for reason in pic below and for end currencies of the world https t co 3l7bez4dk,0.0
236,this drip be fiiiirrrreeeee d and it flow white when i use any spell daa https t co o9oc7l4sfx,0.0
237,finally get to enjoy the joy of fly on a broomstick https t co ttl7rrdcxn,0.0
238,if anyone think that spell the end will keep anyone from play you truly do not know gamers,0.0
239,hogwarts lt 3 https t co qlzzn52bf,0.0
240,all i be go to say be that max fagandini need to find another line of work cc hogwartslegacyas goalie uprise anti semitic plot controversy explain https t co ibwgklztpr,0.0
241,v i e w https t co ulnywg2h0u,0.0
242,look good https t co lf6ofi7z,0.0
243,we get it from someone ddd a a 2a1a Sha Y a a 1a,0.0
244,perhaps i will buy just to make the alphabet mafia even more mad that their boycott fail thank to themselves do more than i or anyone could to discourage that lifestyle and behavior ai https t co eoqoxnlqce,0.0
245,potter i do not know game be 100 gigs graphics be not all that how long do you want to be a lil kid wear a robe flash a wand all the time,0.0
246,can only imagine how the whole movie would go with gun xd https t co sq2dq9v,0.0
247,hogwarts legacy part 5 https t co 6row8nu7,0.0
248,represent this game be a dream come true https t co vj7st5xx,0.0
249,yo anyone look for a cool app that have cheap stuff check this out can you accept my invitation so that i can get a free gift again i have get a free gift here https t co yes4klar,0.0
250,the fact i have to wait another 2 months to play annoy me,0.0
251,the music in this game be a gift to the world https t co 5wnrwtlcra,0.0
252,gif prepare for our newest video the leviathan of the endless depths our newest monsters and villains video get question show me what you get https t co xe3usdzcby,0.0
253,cheer for the care package lobby have be give a sock i https t co 1f8wq0sz,0.0
254,the goldman sort hat give me hufflepuff https t co iv0cd5ar,0.0
255,anyone that say hogwarts legacy have date visuals be clearly lie to themselves or blind i wish there be a photo mode as it look stun it easily have some of if not the best look interiors have ever see ddadSSaai de simply gorgeous https t co 5ys9gmhddt,1.0
256,finally get my wand https t co xvhbxnoach,0.0
257,iam over 5 hours in and have encounter an npc trans in hogsmeade name strong ryan i have also meet an npc lesbian name nora treadwell in lower hogsfield there be also a wide variety of ethnicities i have meet in this game bottom line its inclusive https t co ocfwckenc1,0.0
258,hogwarts legacy loom for improvement bronze https t co novlwlgpvz,0.0
259,accidentally make my guy look like the paint https t co oufliqlwbr,0.0
260,be the best open world game have play since black flag i say what i say,1.0
261,open the app this morning and immediately saw this what a fantastic little surprise to upstart the day d https t co htukhrgygt,0.0
262,influencers be lie lol https t co lyalsimy4i,0.0
263,the scenery in be amaze https t co ziomtuznua,1.0
264,rack my brain come up with a good name for my character and it turn out the musician in hogsmeade share my character family name oh well alpheus and bernie lark brothers from another mother https t co csl4nfptrf,0.0
265,shadow wizard money gang dSSdadY we love cast spell d lean green money team dSSaai where the bad witch at https t co nc15fox,0.0
266,in the meantime i be go to be at hogwarts bitch lmaz https t co byes4hga,0.0
267,we question in the highlands d https t co 9rpm9s3u,0.0
268,hogwarts legacy 2023 on xbox series x https t co 4qmdwytkpt,0.0
269,rarewolfy30 have you ever wonder how to care for a mandate head over to my channel and find out de de link in body de type https t co 5cmjxqp5xv,0.0
270,come check out the new video we can finally fly hogwarts legacy ep 7 https t co yb6s6re2k2,0.0
271,anyone else have issue with on pc crash when you click start your journey after the character creation screen it do it every single time at the same spot,0.0
272,i mean i want to be there its so copy https t co tbxntynlsz,0.0
273,i highly recommend everyone to play especially if they have not watch any of the movies or read any book that be all d,1.0
274,its hilarious that people be complain this game to transphobic discriminate when its actually very diversity and trans gender friendly people will really get to play as their self and a lot of people will love it,0.0
275,iconic https t co jays2cki,0.0
276,freeze fly deer in hogwarts legacy https t co oct6hd1pz,0.0
277,fff i be a problem in this game https t co et6wddljl,0.0
278,leonardo da vince amp this be cool d who want to play with me https t co 3gh2trail,0.0
279,hh i do not think that be how stairs work https t co zfphfomlur,0.0
280,arthur salamander bienvenido a https t co 1gn6fwbyxz,0.0
281,let us go https t co firgzscxer,0.0
282,just beat the story an amaze experience all around 9 10 https t co axbrnjpkpn,1.0
283,we have be tell for age there will be new update yet we still havent get any new doors to open the game still crash and then this new update come out and its just rubbish all the way,0.0
284,my girlfriend receive an incredibly transphobic and hateful message because she show her solidarity with her community in regard to this be the shit that so many trans people have to face daily i hope you step on a lego and it get infect d,0.0
285,this game have give me hill twice and i havent even get out of the tutorial,0.0
286,no drop for you i need to finish this game already but i do not want too https t co acxyuthxz0,0.0
287,50 hours in this will be the first game i will do all the side quest and all the puzzle and unlock all the achievements https t co hjhrwt9h97,0.0
288,goodnight from socio lovegood and his gang https t co s29kpmabyj,0.0
289,hogwarts legacy impressions,0.0
290,i need hogwarts legacy d copyright dead 1 4aai,0.0
291,now this felt epic https t co musk0h74,0.0
292,say cheese https t co jun54exh,0.0
293,sneak peek of my room of requirements love this room https t co 4ksvpghria,0.0
294,so be actually a good game really enjoy it,1.0
295,the play station exclusive quest have no chill d copyright enter a room light off greet with this deg https t co ootnck8ki,0.0
296,hogwarts legacy ps5 part 9 walkthrough gameplay jackal s tomb https t co cong5add6 via https t co asuwdb5gp,0.0
297,remember in the dumbass logic of the anti lunatic you buy blizzard stuff support workplace harassment buy tesla china support child labor buy china support racism amp camp these lunatic need to be lock in insane asylum s for life,0.0
298,little easter egg i find in the room of requirement that be wizards chess https t co buy9xnstmh,0.0
299,i love this game https t co hl4oqjfmw,1.0
300,weasel news man mad at a news reporter pedophile on the rise cop too corrupt in this news broadcast we see here a tweet from a mr earl who be seemingly upset from a tweet and cause a news reporter to quit their job for play hogwarts legacy,0.0
301,do not put harry potter character in your game your game will be a target for boycott be not an exception you will be next and tell tony to follow this evil witch and the trans hat game https t co 8dkjagn7fw,0.0
302,revision videos of maths test 1 2022 1 grade 12 a 2 grade 11 in progress 3 grade 10 still record subscribe to the channel https t co func8tmm oSSuuuoSSu_o uoSSu_u o o uo ukraine https t co do8mlmiggw,0.0
303,second favorite question https t co dkeelcixvn,0.0
304,horror ctv footage capture the moment a 7 8 magnitude part 1 oSSuuuoSSu_o uoSSu_u o o uo rihanna https t co 10wttrkz1p,0.0
305,cute af dd https t co ofxtlmebqn,0.0
306,god tier wizard drip https t co film4toy,0.0
307,with magic season 1 epi vi hitman and marvel midnight sun after https t co ka6owxmch,0.0
308,switch,0.0
309,one of the best gameplay to watch d https t co 6qu5bg9uu,0.0
310,play til mlb the show release https t co zy0fnmrjx,0.0
311,the dungeon in my shop scar the judge cake out of me with the mannequins,0.0
312,wear a skull mask people continually surprise when morgan belong be not very nice https t co bcf52pos,0.0
313,ai dont care if youre survive a literal canzone i will harass you and attack you because you play a video game i dont like a haters treatment of be another reminder on the level of narcissim and lack of morals these people be capable of,0.0
314,minus and web be in love noone can change my mind,0.0
315,i feel like kanye fan and harry potter fan share the same pain,0.0
316,30 hrs on xx and i would give it a 8 10 for mecha jump climb and fly feel way off 9 10 for story include all side missions 10 10 for graphics and attention to detail 10 10 for puzzle 10 10 for hogwarts castle alone overall very fun 9 5 10 https t co n00tliwcxd,1.0
317,novel 30 d https t co cruz5item,0.0
318,do a lot of exploration this weekend in canal wait to continue tomorrow see you all in 12hrs,0.0
319,i should not be this good at farm mystical creatures d https t co hgfyoftn90,0.0
320,you really have to fight upside down https t co bdbeqoqdj0 via,0.0
321,here be a test if be on game pass or ps plus would you play it,0.0
322,another reason to boycott hogwarts legacy,0.0
323,love this game https t co is9dg6ez,0.0
324,autumn d such a beautiful season hogwarts literally make everything i see a thing of beauty and remember always pet the kitty dod https t co j8jeqgolmf,0.0
325,do anyone know why all character eye have turn like this kind of creepy d https t co ffqqyfih1z,0.0
326,omg i be sorry d https t co e1p8heck1,0.0
327,it be happen https t co ya6clrbpmt,0.0
328,sebastian calm down https t co bb88tdbpta,0.0
329,more enemy variety would be nice,0.0
330,steal tweet also be a harry potter fan do not make you a nazi or term i do not agree with but still love,0.0
331,error float to the ceiling https t co g8hay8via,0.0
332,just wow https t co 5tmaunqbrj,0.0
333,super frustrate and major impact to game play,0.0
334,wand at the ready de de de de https t co zlpqva383s,0.0
335,no one should dictate what you can and cannot play watch or read that be just totalitarianism and we have freedom of choice especially in matter as trivial as what videogame we want to consume https t co vzappuhxhy,0.0
336,the deer get in my way i swear https t co dmylny1gct via,0.0
337,i think i might have to say hogwarts legacy be now on my top 3 list best game i have play in a couple of years,1.0
338,i always picture myself as a type of girl and now here we be de deg,0.0
339,well da SS1 back to be a wizard now,0.0
340,thursday on kidzcoolit part 1 https t co vpeipdr1qa or https t co wo0gibbs2l amp https t co 6izwplhtcpa https t co wzfqmhoquw,0.0
341,hogwarts legacy raise expectations bronze https t co l39c7kyle,0.0
342,the fact that i have to wait two whole months to play on my ps4 be ridiculous but to have to wait five months to play on switch be egregious the game be do stop exclude portion of your audience,0.0
343,i wonder what inspire this village design hmm let me guess d d https t co t7the8o15g,0.0
344,famitsu sony sony make magic happen overtake launch align and debut https t co x39l99gum,0.0
345,i think at this point might be a game i will add to my list to get i have hear good things about it or maybe i will just get it to piss off people who be hat on a game for no reason nor justification do not like say it but this be how they see it,0.0
346,someone have be spin straw mmmm https t co used2cdn,0.0
347,enjoy the game so far love how it look https t co hrvxgbfjse,0.0
348,i could watch this all day https t co bbbpgvlmaq,0.0
349,hogwarts legacy pc wesley after class main quest walkthrough https t co 0gplyhhdpo a etal,0.0
350,oh wow a trans barker i be finally play,0.0
351,iam sorry but i just canal with the spiders like some of us have arachnophobia couldnt small react some kind of filter or set for that like i know that this be a game but iam literally scar for my damn life,0.0
352,me and the bro if become multiplayer https t co dual7whs,0.0
353,regard my latest video https t co 1ngxqjmhtw,0.0
